{'status': 'running', 'pid': 10944, 'name': 'Code.exe', 'username': 'VAIBHAV\\vaibh'}
______________________________________________{'status': 'running', 'pid': 16108, 'name': 'Code.exe', 'username': 'VAIBHAV\\vaibh'}
______________________________________________{'status': 'running', 'pid': 16364, 'name': 'Code.exe', 'username': 'VAIBHAV\\vaibh'}
______________________________________________{'status': 'running', 'pid': 21456, 'name': 'Code.exe', 'username': 'VAIBHAV\\vaibh'}
______________________________________________{'status': 'running', 'pid': 23888, 'name': 'Code.exe', 'username': 'VAIBHAV\\vaibh'}
______________________________________________{'status': 'running', 'pid': 24716, 'name': 'Code.exe', 'username': 'VAIBHAV\\vaibh'}
______________________________________________{'status': 'running', 'pid': 25500, 'name': 'Code.exe', 'username': 'VAIBHAV\\vaibh'}
______________________________________________{'status': 'running', 'pid': 27640, 'name': 'Code.exe', 'username': 'VAIBHAV\\vaibh'}
______________________________________________{'status': 'running', 'pid': 28052, 'name': 'Code.exe', 'username': 'VAIBHAV\\vaibh'}
______________________________________________{'status': 'running', 'pid': 31920, 'name': 'Code.exe', 'username': 'VAIBHAV\\vaibh'}
______________________________________________{'status': 'running', 'pid': 33208, 'name': 'Code.exe', 'username': 'VAIBHAV\\vaibh'}
______________________________________________{'status': 'running', 'pid': 35936, 'name': 'Code.exe', 'username': 'VAIBHAV\\vaibh'}
______________________________________________{'status': 'running', 'pid': 36376, 'name': 'Code.exe', 'username': 'VAIBHAV\\vaibh'}
______________________________________________{'status': 'running', 'pid': 37396, 'name': 'Code.exe', 'username': 'VAIBHAV\\vaibh'}
______________________________________________
